shard,gold_dataset,gold_scan,atlas_bdmap_id,match_type,corr32,evaluation_case_id,evidence_status,source_export
shard01,BTCV,img0034.nii.gz,BDMAP_00000020,exact,1.0000,btcv_label0034,standardized_image_hash_match,atlas_overlap_shards01_05.csv
shard01,AMOS,amos_0059.nii.gz,BDMAP_00000050,exact,1.0000,amos_0059,standardized_image_hash_match,atlas_overlap_shards01_05.csv
shard01,AMOS,amos_0044.nii.gz,BDMAP_00000071,shape+corr,1.0000,amos_0044,shape_and_correlation_candidate,atlas_overlap_shards01_05.csv
shard01,AMOS,amos_0159.nii.gz,BDMAP_00000076,exact,1.0000,amos_0159,standardized_image_hash_match,atlas_overlap_shards01_05.csv
shard01,AMOS,amos_0038.nii.gz,BDMAP_00000089,exact,1.0000,amos_0038,standardized_image_hash_match,atlas_overlap_shards01_05.csv
shard01,BTCV,img0040.nii.gz,BDMAP_00000109,exact,1.0000,btcv_label0040,standardized_image_hash_match,atlas_overlap_shards01_05.csv
shard01,AMOS,amos_0288.nii.gz,BDMAP_00000151,shape+corr,1.0000,amos_0288,shape_and_correlation_candidate,atlas_overlap_shards01_05.csv
shard01,AMOS,amos_0231.nii.gz,BDMAP_00000160,shape+corr,1.0000,amos_0231,shape_and_correlation_candidate,atlas_overlap_shards01_05.csv
shard01,AMOS,amos_0214.nii.gz,BDMAP_00000195,shape+corr,1.0000,amos_0214,shape_and_correlation_candidate,atlas_overlap_shards01_05.csv
shard01,BTCV,img0009.nii.gz,BDMAP_00000220,exact,1.0000,btcv_label0009,standardized_image_hash_match,atlas_overlap_shards01_05.csv
shard01,FLARE,FLARE22_Tr_0030_0000.nii.gz,BDMAP_00000243,shape+corr,1.0000,FLARE22_Tr_0030,shape_and_correlation_candidate,atlas_overlap_shards01_05.csv
shard01,AMOS,amos_0348.nii.gz,BDMAP_00000254,shape+corr,1.0000,amos_0348,shape_and_correlation_candidate,atlas_overlap_shards01_05.csv
shard01,AMOS,amos_0115.nii.gz,BDMAP_00000257,shape+corr,1.0000,amos_0115,shape_and_correlation_candidate,atlas_overlap_shards01_05.csv
shard01,AMOS,amos_0152.nii.gz,BDMAP_00000272,exact,1.0000,amos_0152,standardized_image_hash_match,atlas_overlap_shards01_05.csv
shard01,AMOS,amos_0103.nii.gz,BDMAP_00000291,shape+corr,1.0000,amos_0103,shape_and_correlation_candidate,atlas_overlap_shards01_05.csv
shard01,AMOS,amos_0404.nii.gz,BDMAP_00000314,shape+corr,1.0000,amos_0404,shape_and_correlation_candidate,atlas_overlap_shards01_05.csv
shard01,AMOS,amos_0332.nii.gz,BDMAP_00000326,shape+corr,1.0000,amos_0332,shape_and_correlation_candidate,atlas_overlap_shards01_05.csv
shard01,FLARE,FLARE22_Tr_0021_0000.nii.gz,BDMAP_00000332,shape+corr,1.0000,FLARE22_Tr_0021,shape_and_correlation_candidate,atlas_overlap_shards01_05.csv
shard01,FLARE,FLARE22_Tr_0014_0000.nii.gz,BDMAP_00000338,shape+corr,1.0000,FLARE22_Tr_0014,shape_and_correlation_candidate,atlas_overlap_shards01_05.csv
