shard,gold_dataset,gold_scan,atlas_bdmap_id,match_type,corr32
shard01,AMOS,amos_0038.nii.gz,BDMAP_00000089,exact,1.0000
shard01,AMOS,amos_0044.nii.gz,BDMAP_00000071,shape+corr,1.0000
shard01,AMOS,amos_0058.nii.gz,BDMAP_00000485,shape+corr,1.0000
shard01,AMOS,amos_0059.nii.gz,BDMAP_00000050,exact,1.0000
shard01,AMOS,amos_0064.nii.gz,BDMAP_00000342,exact,1.0000
shard01,AMOS,amos_0078.nii.gz,BDMAP_00000479,exact,1.0000
shard01,AMOS,amos_0103.nii.gz,BDMAP_00000291,shape+corr,1.0000
shard01,AMOS,amos_0115.nii.gz,BDMAP_00000257,shape+corr,1.0000
shard01,AMOS,amos_0135.nii.gz,BDMAP_00000420,exact,1.0000
shard01,AMOS,amos_0152.nii.gz,BDMAP_00000272,exact,1.0000
shard01,AMOS,amos_0159.nii.gz,BDMAP_00000076,exact,1.0000
shard01,AMOS,amos_0214.nii.gz,BDMAP_00000195,shape+corr,1.0000
shard01,AMOS,amos_0231.nii.gz,BDMAP_00000160,shape+corr,1.0000
shard01,AMOS,amos_0288.nii.gz,BDMAP_00000151,shape+corr,1.0000
shard01,AMOS,amos_0332.nii.gz,BDMAP_00000326,shape+corr,1.0000
shard01,AMOS,amos_0348.nii.gz,BDMAP_00000254,shape+corr,1.0000
shard01,AMOS,amos_0350.nii.gz,BDMAP_00000484,shape+corr,1.0000
shard01,AMOS,amos_0362.nii.gz,BDMAP_00000443,shape+corr,1.0000
shard01,AMOS,amos_0376.nii.gz,BDMAP_00000384,shape+corr,1.0000
shard01,AMOS,amos_0390.nii.gz,BDMAP_00000478,shape+corr,1.0000
shard01,AMOS,amos_0404.nii.gz,BDMAP_00000314,shape+corr,1.0000
shard01,BTCV,img0009.nii.gz,BDMAP_00000220,exact,1.0000
shard01,BTCV,img0023.nii.gz,BDMAP_00000495,exact,1.0000
shard01,BTCV,img0034.nii.gz,BDMAP_00000020,exact,1.0000
shard01,BTCV,img0040.nii.gz,BDMAP_00000109,exact,1.0000
shard01,FLARE,FLARE22_Tr_0014_0000.nii.gz,BDMAP_00000338,shape+corr,1.0000
shard01,FLARE,FLARE22_Tr_0017_0000.nii.gz,BDMAP_00000438,shape+corr,1.0000
shard01,FLARE,FLARE22_Tr_0021_0000.nii.gz,BDMAP_00000332,shape+corr,1.0000
shard01,FLARE,FLARE22_Tr_0030_0000.nii.gz,BDMAP_00000243,shape+corr,1.0000
shard02,AMOS,amos_0004.nii.gz,BDMAP_00000523,exact,1.0000
shard02,AMOS,amos_0010.nii.gz,BDMAP_00000643,exact,1.0000
shard02,AMOS,amos_0014.nii.gz,BDMAP_00000960,exact,1.0000
shard02,AMOS,amos_0077.nii.gz,BDMAP_00000975,shape+corr,1.0000
shard02,AMOS,amos_0083.nii.gz,BDMAP_00000802,exact,1.0000
shard02,AMOS,amos_0097.nii.gz,BDMAP_00000548,exact,1.0000
shard02,AMOS,amos_0133.nii.gz,BDMAP_00000845,shape+corr,1.0000
shard02,AMOS,amos_0143.nii.gz,BDMAP_00000531,shape+corr,1.0000
shard02,AMOS,amos_0147.nii.gz,BDMAP_00000694,exact,1.0000
shard02,AMOS,amos_0166.nii.gz,BDMAP_00000700,exact,1.0000
shard02,AMOS,amos_0181.nii.gz,BDMAP_00000597,exact,1.0000
shard02,AMOS,amos_0239.nii.gz,BDMAP_00000766,shape+corr,1.0000
shard02,AMOS,amos_0279.nii.gz,BDMAP_00000729,shape+corr,1.0000
shard02,AMOS,amos_0361.nii.gz,BDMAP_00000752,shape+corr,1.0000
shard02,AMOS,amos_0391.nii.gz,BDMAP_00000865,shape+corr,1.0000
shard02,AMOS,amos_0405.nii.gz,BDMAP_00000551,shape+corr,1.0000
shard02,AMOS,amos_0410.nii.gz,BDMAP_00000822,shape+corr,1.0000
shard02,BTCV,img0028.nii.gz,BDMAP_00000821,exact,1.0000
shard02,BTCV,img0037.nii.gz,BDMAP_00000580,exact,1.0000
shard02,FLARE,FLARE22_Tr_0005_0000.nii.gz,BDMAP_00000683,shape+corr,1.0000
